id,latitude,longitude
B021,40.69649565,-73.97809918
B021,40.69650535,-73.97831906
B021,40.69651622,-73.97856543
B021,40.696567,-73.97983715
B021,40.69710358,-73.98034919
B021,40.69756933,-73.98037169
B021,40.69810436,-73.97975796
B021,40.69805972,-73.97845953
B021,40.698054,-73.97830949
B021,40.69804985,-73.97820723
B021,40.69747614,-73.97756141
B021,40.69744373,-73.97755851
B021,40.69706925,-73.97752383
B021,40.6966416,-73.97748013
B022,40.70069057,-73.95598414
B022,40.70109581,-73.95533873
B022,40.70079235,-73.95497976
B022,40.70072588,-73.95490447
B022,40.70049268,-73.95515797
B023,40.69248392,-73.93047029
B023,40.69274188,-73.92973454
B023,40.69260493,-73.92966435
B023,40.69243912,-73.92988487
B025,40.71528508,-73.93580377
B025,40.71531962,-73.93678582
B025,40.71533242,-73.93701677
B025,40.71535497,-73.93749556
B025,40.71542023,-73.93863277
B025,40.71573741,-73.93877706
B025,40.71629077,-73.93780098
B025,40.71640701,-73.93734762
B025,40.71665903,-73.93637912
B025,40.71625178,-73.93620005
B025,40.71551913,-73.93587448
B026,40.6852311,-73.97146452
B026,40.68549561,-73.97213266
B026,40.68560721,-73.97241384
B026,40.68576972,-73.97270239
B026,40.68586648,-73.97240528
B026,40.68587403,-73.97233678
B026,40.68595912,-73.9716047
B026,40.68594201,-73.97156265
B026,40.68572901,-73.9714849
B026,40.68527006,-73.9713948
B026,40.68523818,-73.97145184
B028,40.60676118,-74.01826595
B028,40.60678403,-74.01808214
B028,40.60684806,-74.01783816
B028,40.60700939,-74.01752362
B028,40.60706628,-74.01745706
B028,40.60739244,-74.01711308
B028,40.60746479,-74.01696641
B028,40.60744112,-74.01682055
B028,40.60717612,-74.01636288
B028,40.60712719,-74.01627947
B028,40.60702113,-74.01607725
B028,40.60681873,-74.01569491
B028,40.60678024,-74.01573011
B028,40.60662767,-74.01588776
B028,40.60632751,-74.01620158
B028,40.60631194,-74.0162235
B028,40.60627549,-74.01626383
B028,40.60583894,-74.01671693
B028,40.60546751,-74.01710374
B028,40.60519801,-74.01739806
B028,40.60516658,-74.01743158
B028,40.60495387,-74.01768676
B028,40.60464118,-74.01824351
B028,40.60451987,-74.0185824
